Date,Open,High,Low,Volume,MarketCap
11-Aug-21,45599.70,46735.63,45351.71,34319709073.00,856398622622.00
12-Aug-21,45576.88,46228.91,43861.45,33723620826.00,834546790666.00
13-Aug-21,44439.69,47831.98,44282.42,31744259539.00,897802604441.00
14-Aug-21,47810.69,48098.68,46177.63,31211354442.00,884769956069.00
15-Aug-21,47096.67,47357.11,45579.59,30988958446.00,883882942188.00
16-Aug-21,47019.96,47998.10,45700.32,32776876610.00,864345726183.00
17-Aug-21,45936.46,47139.57,44512.42,33451362600.00,839796717683.00
18-Aug-21,44686.75,45952.06,44364.03,32194123075.00,841823296233.00
19-Aug-21,44741.88,46970.76,43998.32,37204312299.00,877875534875.00
20-Aug-21,46723.12,49342.15,46650.71,34706867452.00,927189789032.00
21-Aug-21,49327.07,49717.02,48312.20,40585205312.00,919092181743.00
22-Aug-21,48869.10,49471.61,48199.94,25370975378.00,926961622395.00
